"","partitioning","price","rooms_count","useful_surface","built_surface","bathrooms_count","price_range"
"1325","decomandat",61600,2,61,75,1,"mic"
"1326","decomandat",85900,4,81,90,2,"mediu"
"1327","decomandat",106500,2,58,71,1,"mediu"
"1328","decomandat",72860,3,80,94,2,"mediu"
"1329","semidecomandat",40000,1,32,42,1,"mic"
"1330","decomandat",57500,2,72,85,1,"mic"
"1331","",60990,3,55,60,1,"mic"
"1332","decomandat",45600,2,56,65,1,"mic"
"1333","decomandat",650000,6,365,514,5,"mare"
"1334","decomandat",328000,4,133,165,2,"mare"
"1335","semidecomandat",79900,2,46,50,1,"mediu"
"1336","decomandat",82300,2,57,69,1,"mediu"
"1337","decomandat",126900,3,88,110,2,"mediu"
"1338","decomandat",66500,3,67,87,2,"mediu"
"1339","decomandat",54300,2,36,46,1,"mic"
"1340","semidecomandat",89990,3,67,72,2,"mediu"
"1341","semidecomandat",66900,3,69,88,1,"mediu"
"1342","semidecomandat",130000,5,130,160,2,"mediu"
"1343","decomandat",170000,3,90,121,3,"mare"
"1344","decomandat",58800,1,38,47,1,"mic"
"1345","decomandat",78000,2,52,55,1,"mediu"
"1346","decomandat",81900,3,66,68,1,"mediu"
"1347","decomandat",63999,2,49,65,1,"mic"
"1348","decomandat",60000,2,41,45,1,"mic"
"1349","decomandat",99700,2,50,65,1,"mediu"
"1350","decomandat",450000,5,168,272,2,"mare"
"1351","decomandat",170000,3,71,103,2,"mare"
"1352","semidecomandat",57500,2,52,60,1,"mic"
"1353","decomandat",58356,1,38,48,1,"mic"
"1354","decomandat",27500,2,60,72,1,"mic"
"1355","decomandat",124500,3,88,95,2,"mediu"
"1356","decomandat",112000,2,64,70,1,"mediu"
"1357","decomandat",60800,2,64,75,1,"mic"
"1359","semidecomandat",92000,2,42,50,1,"mediu"
"1360","decomandat",67100,3,76,90,2,"mediu"
"1361","decomandat",300000,3,186,230,2,"mare"
"1362","decomandat",55860,2,60,74,1,"mic"
"1363","decomandat",199000,2,62,70,1,"mare"
"1364","semidecomandat",133000,4,85,95,2,"mediu"
"1365","decomandat",127000,3,80,86,2,"mediu"
"1366","semidecomandat",69500,3,73,95,1,"mediu"
"1367","decomandat",485000,4,150,270,4,"mare"
"1368","",87857,2,52,75,1,"mediu"
"1369","decomandat",63600,2,70,83,1,"mic"
"1370","decomandat",34700,2,41,41,1,"mic"
"1371","decomandat",74190,3,88,104,2,"mediu"
"1372","decomandat",89000,2,50,67,1,"mediu"
"1373","decomandat",63600,2,70,83,1,"mic"
"1374","decomandat",47500,2,40,48,1,"mic"
"1375","",45000,2,46,60,1,"mic"
"1376","decomandat",137000,2,70,100,1,"mediu"
"1377","semidecomandat",185000,2,91,111,1,"mare"
"1378","semidecomandat",450000,3,82,105,2,"mare"
"1379","decomandat",180000,3,100,140,2,"mare"
"1380","semidecomandat",75000,2,61,68,1,"mediu"
"1381","circular",55000,2,46,50,1,"mic"
"1382","decomandat",89430,4,106,126,2,"mediu"
"1383","decomandat",55500,1,37,45,1,"mic"
"1384","semidecomandat",306000,3,87,94,2,"mare"
"1385","semidecomandat",65000,2,53,65,1,"mediu"
"1386","decomandat",88600,2,62,75,1,"mediu"
"1387","semidecomandat",208000,3,83,109,3,"mare"
"1388","decomandat",71990,2,51,54,1,"mediu"
"1390","decomandat",67180,1,33,41,1,"mediu"
"1391","decomandat",71300,2,50,79,1,"mediu"
"1392","semidecomandat",88990,3,65,75,1,"mediu"
"1394","semidecomandat",192899,3,93,132,2,"mare"
"1395","decomandat",54000,2,57,67,1,"mic"
"1396","decomandat",56300,2,50,52,1,"mic"
"1397","decomandat",87000,2,69,75,1,"mediu"
"1398","decomandat",30000,1,32,40,1,"mic"
"1399","semidecomandat",135000,2,69,80,1,"mediu"
"1400","semidecomandat",176000,3,112,125,2,"mare"
"1401","decomandat",123540,2,50,70,1,"mediu"
"1402","",65000,1,30,34,1,"mediu"
"1403","decomandat",80000,2,40,46,1,"mediu"
"1404","decomandat",189000,3,108,126,2,"mare"
"1405","decomandat",99000,3,64,72,1,"mediu"
"1406","decomandat",78900,3,64,90,1,"mediu"
"1407","decomandat",175000,3,84,196,2,"mare"
"1408","decomandat",59300,3,67,102,1,"mic"
"1410","decomandat",66000,2,61,71,1,"mediu"
"1411","semidecomandat",88500,3,93,110,2,"mediu"
"1412","semidecomandat",63000,2,50,50,1,"mic"
"1413","decomandat",76000,2,50,63,1,"mediu"
"1414","decomandat",130000,2,63,71,1,"mediu"
"1416","semidecomandat",197000,3,87,95,2,"mare"
"1417","decomandat",129340,2,50,70,1,"mediu"
"1418","decomandat",59900,2,57,68,1,"mic"
"1419","semidecomandat",51990,2,60,65,1,"mic"
"1420","decomandat",64500,2,60,70,1,"mic"
"1421","decomandat",92453,3,88,98,2,"mediu"
"1422","nedecomandat",42990,2,47,55,1,"mic"
"1424","decomandat",503343,4,141,270,3,"mare"
"1425","decomandat",96000,2,66,78,1,"mediu"
"1426","decomandat",66000,3,73,90,1,"mediu"
"1427","decomandat",129000,3,98,117,2,"mediu"
"1428","semidecomandat",38000,2,41,56,1,"mic"
"1429","decomandat",198000,3,90,114,2,"mare"
"1430","decomandat",104000,4,88,106,2,"mediu"
"1431","decomandat",82300,2,57,69,1,"mediu"
"1432","decomandat",109500,3,74,92,2,"mediu"
"1433","semidecomandat",249900,4,114,150,2,"mare"
"1434","decomandat",339000,4,148,155,3,"mare"
"1436","decomandat",225000,3,113,135,2,"mare"
"1437","nedecomandat",40900,1,20,24,1,"mic"
